date,close,volume,open,high,low
12/14/2017,118.93,6992992,119.1,119.285,118.705
12/13/2017,119.17,10083430,118.19,119.35,118.01
12/12/2017,118.15,8018134,117.73,118.17,117.4
12/11/2017,118.01,4520967,118.37,118.54,117.8
12/8/2017,118.48,5231197,118.63,118.92,118.33
12/7/2017,118.49,12899020,119.01,119.24,118.1
12/6/2017,120.07,6640436,120.03,120.44,119.87
12/5/2017,120.32,10036950,120.44,120.505,119.72
12/4/2017,121.18,6943514,121.15,121.2,120.84
12/1/2017,121.59,13007090,120.94,122.43,120.74
11/30/2017,121.1,7935889,121.44,121.695,120.64
11/29/2017,122.04,6138071,122.24,122.33,121.74
11/28/2017,122.81,5602882,123.05,123.17,122.53
11/27/2017,122.83,4957383,123.26,123.33,122.67
11/24/2017,122.32,1779705,122.36,122.61,122.22
11/22/2017,122.63,5210904,122.26,122.95,122.17
11/21/2017,121.51,4954630,121.67,122,121.5
11/20/2017,121.31,8279526,122.3,122.41,121.04
11/17/2017,122.86,10613190,122.15,123.17,121.95
11/16/2017,121.4,2796045,121.45,121.71,121.29
11/15/2017,121.41,4983697,122.13,122.36,121.25
11/14/2017,121.56,6188692,120.9,121.91,120.77
11/13/2017,121.31,6247181,121.43,121.55,121.27
11/10/2017,121.13,7097517,121.99,122.11,120.935
11/9/2017,122.13,6072394,121.85,122.41,121.73
11/8/2017,121.63,5564212,121.95,122.25,121.59
11/7/2017,121.21,4164329,121.51,121.56,120.78
11/6/2017,121.65,6952287,120.72,121.85,120.68
11/3/2017,120.62,6291275,121.36,121.43,120.1844
11/2/2017,121.19,5367746,121.29,121.96,121.05
11/1/2017,121.11,4647512,120.98,121.55,120.835
10/31/2017,120.67,3910395,120.82,120.84,120.38
10/30/2017,121.13,5115433,120.93,121.47,120.8
10/27/2017,120.9,6663178,120.38,120.99,120.21
10/26/2017,120.33,6406357,121.16,121.16,120.22
10/25/2017,121.35,4282252,121.31,121.5899,120.84
10/24/2017,121.33,5080322,121.26,121.71,120.98
10/23/2017,121.8,5069100,120.98,121.9,120.96
10/20/2017,121.61,8480907,121.68,121.98,121.39
10/19/2017,122.39,5562154,122.2,122.55,122.111
10/18/2017,121.67,3663554,121.71,121.94,121.55
10/17/2017,122.13,7037155,122.03,122.32,121.73
10/16/2017,122.97,8199763,123.82,123.97,122.57
10/13/2017,123.82,6808619,123.66,123.86,123.34
10/12/2017,122.89,3010725,122.84,123.035,122.5
10/11/2017,122.79,5645183,122.57,122.88,122.03
10/10/2017,122.4,9314834,122.62,122.97,122.36
10/9/2017,122.08,5239462,121.64,122.11,121.551
10/6/2017,121.09,10010540,120.26,121.21,119.7835
10/5/2017,120.52,6204168,121.15,121.24,120.395
10/4/2017,121.17,6465840,121.21,121.27,120.7101
10/3/2017,120.83,3727618,120.72,121.1,120.7041
10/2/2017,120.77,11748450,121.17,121.34,120.74
9/29/2017,121.58,10207240,122.29,122.3,121.55
9/28/2017,122.21,5952132,122.04,122.475,121.83
9/27/2017,121.98,6901984,122.04,122.51,121.88
9/26/2017,123.14,8653338,123.57,123.81,122.9
9/25/2017,124.53,10235710,122.78,124.66,122.71
9/22/2017,123.24,6011635,123.03,123.39,122.9348
9/21/2017,122.68,7754508,122.56,123.07,122.49
9/20/2017,123.62,11402690,124.68,125.0599,123.15
9/19/2017,124.62,5824242,124.49,124.65,124.03
9/18/2017,124.36,8835621,124.71,124.76,123.965
9/15/2017,125.53,7689359,125.99,125.99,125.41
9/14/2017,126.16,5285917,125.66,126.44,125.62
